pair_name,family,approx_model_name,target_model_name,task,prompt_id,gamma,top_k,top_p,temperature,max_tokens,baseline_large_tps,baseline_small_tps,speculative_tps,speedup,rounds,generated_tokens,accepted_count,resample_count,target_sample_count,proposed_draft_tokens,acceptance_rate,all_accept_round_rate,resample_round_rate,avg_accepted_per_round,avg_contributed_per_round,avg_draft_generate_ms_per_round,avg_target_verify_ms_per_round,draft_generate_ms_total,target_verify_ms_total
qwen25_1p5b_to_3b,qwen2.5,Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-3B,continuation,continuation_0,4,20,0.0,1.0,64,7.14249,,3.096071,0.433472,15,65,50,3,12,60,0.833333,0.8,0.2,3.333333,4.333333,1249.544707,146.39348,18743.1706,2195.9022
qwen25_1p5b_to_3b,qwen2.5,Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-3B,continuation,continuation_0,4,20,0.9,1.0,64,7.430798,,3.324146,0.447347,14,65,51,2,12,56,0.910714,0.857143,0.142857,3.642857,4.642857,1244.18745,148.734843,17418.6243,2082.2878
qwen25_1p5b_to_3b,qwen2.5,Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-3B,continuation,continuation_0,4,50,0.0,1.0,64,7.241643,,3.621999,0.500163,13,65,52,0,13,52,1.0,1.0,0.0,4,5,1232.130238,144.5031,16017.6931,1878.5403
qwen25_1p5b_to_3b,qwen2.5,Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-3B,continuation,continuation_0,4,50,0.9,1.0,64,7.66406,,3.282442,0.42829,15,67,52,3,12,60,0.866667,0.8,0.2,3.466667,4.466667,1212.31684,144.748927,18184.7526,2171.2339
qwen25_1p5b_to_3b,qwen2.5,Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-3B,continuation,continuation_1,2,20,0.0,1.0,64,7.27033,,3.827169,0.526409,22,66,44,0,22,44,1.0,1.0,0.0,2,3,634.319323,146.838373,13955.0251,3230.4442
qwen25_1p5b_to_3b,qwen2.5,Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-3B,continuation,continuation_1,2,20,0.9,1.0,64,7.196172,,3.804554,0.528691,22,66,44,0,22,44,1.0,1.0,0.0,2,3,635.917305,149.836759,13990.1807,3296.4087
qwen25_1p5b_to_3b,qwen2.5,Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-3B,continuation,continuation_1,2,50,0.0,1.0,64,7.206928,,3.839981,0.532818,22,64,42,1,21,44,0.954545,0.954545,0.045455,1.909091,2.909091,612.086105,142.934064,13465.8943,3144.5494
qwen25_1p5b_to_3b,qwen2.5,Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-3B,continuation,continuation_1,2,50,0.9,1.0,64,7.488714,,3.91865,0.523274,23,65,42,2,21,46,0.913043,0.913043,0.086957,1.826087,2.826087,583.597313,135.096939,13422.7382,3107.2296
qwen25_1p5b_to_3b,qwen2.5,Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-3B,continuation,continuation_1,4,20,0.0,1.0,64,7.838055,,3.750651,0.478518,13,65,52,0,13,52,1.0,1.0,0.0,4,5,1191.558685,137.849231,15490.2629,1792.04
qwen25_1p5b_to_3b,qwen2.5,Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-3B,continuation,continuation_1,4,20,0.9,1.0,64,7.646444,,3.509597,0.458984,14,67,53,1,13,56,0.946429,0.928571,0.071429,3.785714,4.785714,1217.619857,142.097036,17046.678,1989.3585
qwen25_1p5b_to_3b,qwen2.5,Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-3B,continuation,continuation_1,4,50,0.0,1.0,64,7.487987,,3.264576,0.435975,14,64,50,3,11,56,0.892857,0.785714,0.214286,3.571429,4.571429,1247.306507,148.868857,17462.2911,2084.164
qwen25_1p5b_to_3b,qwen2.5,Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-3B,continuation,continuation_1,4,50,0.9,1.0,64,7.131228,,3.370972,0.472706,14,65,51,3,11,56,0.910714,0.785714,0.214286,3.642857,4.642857,1228.545,144.88405,17199.63,2028.3767
qwen25_1p5b_to_3b,qwen2.5,Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-3B,code_completion,code_completion_0,2,20,0.0,1.0,64,7.765589,,3.9602,0.509968,22,66,44,0,22,44,1.0,1.0,0.0,2,3,611.184232,143.708759,13446.0531,3161.5927
qwen25_1p5b_to_3b,qwen2.5,Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-3B,code_completion,code_completion_0,2,20,0.9,1.0,64,7.218735,,3.466019,0.480142,24,65,41,4,20,48,0.854167,0.833333,0.166667,1.708333,2.708333,629.614292,149.156004,15110.743,3579.7441
qwen25_1p5b_to_3b,qwen2.5,Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-3B,code_completion,code_completion_0,2,50,0.0,1.0,64,7.329067,,3.818862,0.521057,22,66,44,0,22,44,1.0,1.0,0.0,2,3,633.680877,149.153132,13940.9793,3281.3689
qwen25_1p5b_to_3b,qwen2.5,Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-3B,code_completion,code_completion_0,2,50,0.9,1.0,64,7.281734,,3.4375,0.472072,24,65,41,4,20,48,0.854167,0.833333,0.166667,1.708333,2.708333,637.699879,147.481679,15304.7971,3539.5603
qwen25_1p5b_to_3b,qwen2.5,Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-3B,code_completion,code_completion_0,4,20,0.0,1.0,64,7.48059,,3.808262,0.509086,13,65,52,0,13,52,1.0,1.0,0.0,4,5,1172.929992,136.285285,15248.0899,1771.7087
qwen25_1p5b_to_3b,qwen2.5,Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-3B,code_completion,code_completion_0,4,20,0.9,1.0,64,7.619891,,3.037932,0.398684,16,66,50,4,12,64,0.78125,0.75,0.25,3.125,4.125,1212.051175,142.322287,19392.8188,2277.1566
qwen25_1p5b_to_3b,qwen2.5,Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-3B,code_completion,code_completion_0,4,50,0.0,1.0,64,7.636092,,3.892385,0.509735,13,65,52,0,13,52,1.0,1.0,0.0,4,5,1148.286985,132.553669,14927.7308,1723.1977
qwen25_1p5b_to_3b,qwen2.5,Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-3B,code_completion,code_completion_0,4,50,0.9,1.0,64,7.773603,,2.96577,0.381518,16,65,49,5,11,64,0.765625,0.6875,0.3125,3.0625,4.0625,1223.468275,142.822738,19575.4924,2285.1638
qwen25_1p5b_to_3b,qwen2.5,Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-3B,code_completion,code_completion_1,2,20,0.0,1.0,64,7.548133,,4.123052,0.546235,22,66,44,0,22,44,1.0,1.0,0.0,2,3,590.199332,134.870645,12984.3853,2967.1542
qwen25_1p5b_to_3b,qwen2.5,Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-3B,code_completion,code_completion_1,2,20,0.9,1.0,64,7.796538,,4.094524,0.525172,22,65,43,1,21,44,0.977273,0.954545,0.045455,1.954545,2.954545,583.322659,135.692555,12833.0985,2985.2362
qwen25_1p5b_to_3b,qwen2.5,Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-3B,code_completion,code_completion_1,2,50,0.0,1.0,64,7.909901,,4.126949,0.521745,22,66,44,0,22,44,1.0,1.0,0.0,2,3,587.338559,136.947273,12921.4483,3012.84
